Date,MMM,ABT,ABBV,ABMD,ACN,ATVI,ADBE,AMD,AAP,AES,AMG,AFL,A,APD,AKAM,ALK,ALB,ARE,ALXN,ALGN,ALLE,AGN,ADS,LNT,ALL
2000-01-31,27.07558441162109,6.27539587020874,,29.25,,1.174551248550415,13.55997085571289,18.0,,32.324634552001946,22.72341537475586,5.330504417419434,41.08642959594727,16.70754051208496,249.125,7.181204319000244,5.665918827056885,14.73277473449707,10.9375,,,34.433677673339844,,2.896472930908203,14.497965812683105
2000-02-01,27.22018623352051,6.335620403289795,,28.75,,1.2685152292251587,13.76006031036377,18.28125,,32.576770782470696,22.928497314453125,5.437883377075195,44.073822021484375,17.271514892578125,239.0625,7.153042793273926,5.509077548980713,14.857629776000975,11.09375,,,35.34123229980469,,2.896472930908203,14.41981029510498
2000-02-02,26.75025177001953,6.371753692626952,,28.125,,1.3061009645462036,15.099128723144533,18.03125,,31.996849060058594,23.33866882324219,5.445550918579102,47.487998962402344,17.130517959594727,233.625,7.167123794555664,5.528682231903076,14.888842582702635,12.625,,,36.56909942626953,,2.8053884506225586,14.57612133026123
2000-02-03,26.515295028686523,6.4078898429870605,,26.75,,1.3201956748962402,17.007680892944336,19.5,,32.425491333007805,24.03595924377441,5.514580249786377,48.26394271850586,17.342010498046875,245.375,7.012235164642334,5.528682231903076,14.73277473449707,14.0,,,37.47664260864258,,2.866112470626831,14.41981029510498
2000-02-04,25.756160736083984,6.636744499206543,,27.5625,,1.1839476823806765,18.22361946105957,19.28125,,30.35792350769043,24.897315979003906,5.391862869262695,47.33280944824219,17.41250991821289,235.0,6.913669109344482,5.450260639190674,14.76399040222168,13.65625,,,36.19540786743164,,2.823606014251709,14.537042617797852
2000-02-07,25.3404541015625,6.516292095184326,,29.5625,,1.1275691986083984,18.977798461914066,20.65625,,32.274208068847656,24.97934913635254,5.246138095855713,49.35026550292969,17.377260208129886,228.625,6.843266010284424,5.450260639190674,14.701563835144045,13.421875,,,37.1563606262207,,2.823606014251709,14.693352699279785
2000-02-08,25.3585205078125,6.576517581939697,,28.375,,1.1087764501571655,20.624698638916016,20.6875,,34.06441879272461,24.65121078491211,5.146430969238281,49.03988647460938,17.024778366088867,240.9375,6.772861003875732,5.371838569641113,14.576717376708984,12.859375,,,37.049583435058594,,2.8296773433685303,13.755484580993652
2000-02-09,25.3404541015625,6.949910640716553,,27.375,,1.0923289060592651,21.563587188720703,21.03125,,34.64434814453125,26.33290863037109,5.069730758666992,47.022422790527344,16.14358139038086,234.875,6.660214900970459,5.2934184074401855,14.54550075531006,12.96875,,,36.2487907409668,,2.84789514541626,12.465906143188475
2000-02-10,24.87052154541016,6.769237041473389,,29.4375,,1.0852853059768677,22.4716911315918,21.25,,33.43405914306641,26.086809158325195,5.062063217163086,47.60437774658203,15.82634449005127,229.0,6.716538429260254,5.2934184074401855,14.607928276062012,13.90625,,,36.19540786743164,,2.890401601791382,12.817605972290039
2000-02-11,23.98486137390137,6.552428245544434,,29.5,,1.1181728839874268,22.271596908569336,22.75,,33.081066131591804,26.29189300537109,4.8933281898498535,46.78964233398438,15.191877365112305,233.0625,6.575729846954347,5.018946170806885,14.54550075531006,15.6875,,,34.96752548217773,,2.9329066276550293,13.560096740722654
2000-02-14,23.966779708862305,6.757190227508545,,29.25,,1.0805871486663818,22.071504592895508,21.625,,34.49306488037109,26.16884422302246,4.793619632720947,47.44919967651367,16.178831100463867,230.375,6.153306484222412,5.156183242797852,14.795208930969238,15.625,,,36.836036682128906,,2.9571959972381587,13.286545753479006
2000-02-15,25.77424049377441,6.769237041473389,,32.5,,1.052397847175598,21.88681411743164,21.75,,34.84606170654297,25.79969024658203,4.830719947814941,50.8245735168457,16.355072021484375,222.5,6.237791538238525,5.2934184074401855,14.826425552368164,18.75,,,34.80736923217773,,3.048280000686645,13.59917449951172
2000-02-16,25.539276123046875,6.68492317199707,,35.375,,1.0535705089569092,24.18015289306641,21.875,,35.5772705078125,25.63562202453613,4.792072772979736,50.28140640258789,15.791094779968262,246.125,6.2659525871276855,5.097366809844972,14.576717376708984,22.0625,,,33.55907440185547,,3.0239908695220947,13.442856788635256
2000-02-17,25.918832778930664,6.600607872009277,,41.3125,,1.0547432899475098,25.01129531860352,21.5,,35.47642135620117,25.307485580444336,4.676136016845703,60.213539123535156,16.073078155517578,252.0,6.392680168151856,5.175787448883057,14.639139175415039,21.03125,,,33.665969848632805,,3.0057737827301025,13.286545753479006
2000-02-18,25.32237243652344,6.2874412536621085,,40.75,,1.0148123502731323,24.19554328918457,21.5,,35.50162887573242,24.487140655517575,4.660677433013916,58.19607925415039,15.262372016906738,241.6875,6.336356163024902,4.999340057373047,14.888842582702635,19.0,,,34.948474884033196,,2.9389781951904297,13.130233764648438
2000-02-22,26.063425064086914,6.431981086730957,,36.9375,,1.0054159164428709,24.20323181152344,20.90625,,34.6695556640625,24.03595924377441,4.606575012207031,56.79936981201172,15.685354232788086,242.125,6.181468486785889,4.999340057373047,14.857629776000975,18.78125,,,34.627838134765625,,2.9146902561187744,13.364706993103027
2000-02-23,27.04412841796875,6.191080093383789,,35.554649353027344,,0.981924831867218,24.534160614013672,20.53125,,33.963558197021484,23.99493980407715,4.529283046722412,61.455055236816406,15.332874298095705,252.0625,6.111064434051514,4.940523624420166,14.920059204101562,19.0,,,34.6812744140625,,2.866112470626831,13.052083015441895
2000-02-24,26.65960502624512,6.118813514709473,,35.625,,0.986623227596283,26.196443557739254,21.28125,,34.240909576416016,25.5125732421875,4.4056172370910645,66.26590728759766,14.87464714050293,274.8125,6.139224529266357,4.822892189025879,14.73277473449707,19.8125,,,33.772838592529304,,2.823606014251709,13.091154098510742
2000-02-25,25.121545791625977,6.179036140441895,,37.625,,0.9584338068962096,24.257102966308594,20.25,,34.08963394165039,25.4305362701416,4.336054801940918,67.11946105957031,14.733664512634276,267.0625,5.998417377471924,4.803287982940674,14.670353889465332,20.21875,,,34.09345245361328,,2.7628824710845947,12.84373378753662
2000-02-28,25.32296371459961,6.383798599243164,,37.0,,0.9443390965461732,24.087804794311523,18.875,,34.61911773681641,25.14341926574707,4.567929744720459,62.696571350097656,14.733664512634276,256.75,6.096983432769775,4.803287982940674,14.857629776000975,20.65625,,,34.14688873291016,,2.7568109035491943,12.48915195465088
